label pred company_id url
72110 1110 08838370 www.14mg.co.uk
32500 33130 05980916 www.accringtonsurgical.co.uk
27900 43220 03482018 www.adc-analysers.com
27900 70221 SC164216 www.apd-ltd.com
33120 49410 SC087960 amkplantandtipperhire.co.uk
33120 33130 04586571 www.amngarageservices.co.uk
32500 23190 04126138 www.analog-lab.co.uk
72110 72190 07979043 www.ancona-alpha.com
72110 35110 07191622 www.appleybridgebiomasstoenergy.co.uk
32500 63910 06717387 endocuff.com
26200 65202 01666681 www.arkel.co.uk
72110 58290 05066019 ashbiotech.com
33120 27110 08605862 www.atogs.com
27900 43220 04484160 www.auriga-energy.com
72110 66210 07543962 autifony.com
72110 27200 SC303949 avanticell.com
33120 82200 08085682 www.b2x.com
32500 47782 03986153 www.bbgr.co.uk
33120 96010 03484471 www.bedfordbearings.co.uk
27900 47782 05892766 www.gdstechnology.co.uk
72110 74901 07153483 www.biologic.ca
26200 63120 SC202264 www.bloxx.com
27900 27520 05399744 www.bnthermic.co.uk
26200 23910 07589591 www.bomgar.com
27900 23910 07084313 www.candscontrolsltd.com
27900 26512 02199089 caledonian-control.com
32500 86220 08384378 cellsonic-medical.com
32500 71200 04333637 ceramisys.com
32500 35300 03289286 chromagen.com
72110 71129 09066229 cleonenergy.co.uk
33120 24510 07519345 www.clippanet.co.uk
72110 61900 08273616 www.congenica.com
33120 71129 02689763 www.cooltech-ltd.co.uk
27900 43210 06076919 www.covtec.co.uk
72110 24430 06670868 www.cyclofluidic.co.uk
72110 1110 03670478 www.dgen.net
33120 71129 07058198 www.datumengineering.org.uk
86101 86220 08972195 www.dynamicmedicalmarketing.com
27900 71129 02130003 www.eda1987.co.uk
27900 64929 02376439 www.electrofit-zapi.com
27900 77330 01443701 www.electroversal.com
86101 87100 08676343 www.djh-medic.ie
32500 61200 04838458 www.energistgroup.com
86101 86220 09219446 www.epicmedical.co.uk
86101 28220 06777610 www.spectrumhealthcare.co.uk
86101 88100 06006457 excellultrasound.co.uk
26200 1110 04781783 www.ezpc.com
72110 72190 03351628 www.finvector.com
27900 41201 02306288 www.frantronics.co.uk
86101 66300 08089428 geotabafrica.com
72110 72190 SC406341 glycobiochem.com
27900 2200 05427076 www.goldtex.biz
86101 82200 04665968 www.grazie.ca
27900 24340 07819318 haloblaze.com
86101 47781 08827709 hangaten.com
27900 71129 01473077 www.hanovia.com
32500 23910 06262728 www.harvardhealthcare.co.uk
72110 72190 SC296459 www.highlandbiosciences.com
27900 80200 02639909 www.hochikieurope.com
32500 86101 07006116 hypo-stream.com
33120 1110 02630521 www.imlifts.co.uk
26200 9900 03056670 www.intecpc.co.uk
32500 45111 04504094 www.intelligent-orthopaedics.com
72110 72190 08010751 www.iscadiagnostics.com
33120 77390 05405727 www.jgfmachinery.co.uk
27900 71129 06434180 www.kpr-engineering.com
86101 71129 08460261 www.kuka.com
32500 70221 04621288 www.lapponia.com
27900 26512 02180587 louthtxonline.co.uk
27900 35130 01179461 www.lucyelectric.com
86101 70229 02400969 www.macmillan.org.uk
33120 71129 07181647 mechspan.com
86101 8110 09089447 medasstones.com
32500 99000 07971545 www.medentra-uk.com
32500 28410 04086066 www.medilase.co.uk
86101 86220 08136144 www.medscape.com
33120 46610 05156943 mikegarwoodltd.co.uk
72110 72190 04784437 mologic.co.uk
